containerID=com.apple.Avatars:Production	applicationBundleID=com.apple.avatarsd
containerID=com.apple.CoreRoutine-3:Production	applicationBundleID=com.apple.routined
containerID=com.apple.CoreSuggestions.PseudoEvents:Production	applicationBundleID=com.apple.suggestd
containerID=com.apple.FTMessageStoreService:Production	applicationBundleID=com.apple.facetimemessagestored
containerID=com.apple.KeyValueService.Encrypted:Production	applicationBundleID=com.apple.syncdefaultsd
containerID=com.apple.KeyValueService.EndToEndEncrypted.AllPlatforms:Production	applicationBundleID=com.apple.syncdefaultsd
containerID=com.apple.KeyValueService.EndToEndEncrypted:Production	applicationBundleID=com.apple.syncdefaultsd
containerID=com.apple.KeyValueService:Production	applicationBundleID=com.apple.syncdefaultsd
containerID=com.apple.Maps.Sync.secure:Production	applicationBundleID=com.apple.Maps
containerID=com.apple.SafariShared.CloudTabs:Production	applicationBundleID=com.apple.Safari
containerID=com.apple.SafariShared.History:Production	applicationBundleID=com.apple.Safari
containerID=com.apple.SafariShared.Settings:Production	applicationBundleID=com.apple.Safari
containerID=com.apple.SafariShared.WBSCloudBookmarksStore:Production	applicationBundleID=com.apple.Safari
containerID=com.apple.SafetyMonitor.SafetyCache:Production	applicationBundleID=com.apple.routined
containerID=com.apple.ScreenTimeSettings:Production	applicationBundleID=com.apple.ScreenTimeSettingsAgent
containerID=com.apple.ScreenTimeSettings:Production	applicationBundleID=com.apple.cksharingmanagementd
containerID=com.apple.ScreenTimeSettings:Sandbox	applicationBundleID=com.apple.cksharingmanagementd
containerID=com.apple.SocialLayer:Production	applicationBundleID=com.apple.sociallayerd
containerID=com.apple.UsageTracking:Production	applicationBundleID=com.apple.UsageTrackingAgent
containerID=com.apple.accessibility.PersonalAudioTunings:Production	applicationBundleID=com.apple.accessibility.heard
containerID=com.apple.accessibility.RTTTranscripts:Production	applicationBundleID=com.apple.accessibility.heard
containerID=com.apple.accessibility.guestpass:Production	applicationBundleID=com.apple.accessibility.AccessibilityUIServer
containerID=com.apple.accessibility.voicebanking:Production	applicationBundleID=com.apple.voicebankingd
containerID=com.apple.appleaccount.beneficiary.private:Production	applicationBundleID=com.apple.appleaccountd
containerID=com.apple.appleaccount.beneficiary:Production	applicationBundleID=com.apple.appleaccountd
containerID=com.apple.appleaccount.custodian.private:Production	applicationBundleID=com.apple.appleaccountd
containerID=com.apple.appleaccount.custodian:Production	applicationBundleID=com.apple.appleaccountd
